[2025-06-24 23:32:08,603] [INFO] MCP 'Kubernetes Resources Manager Server' initialized on 0.0.0.0:8000
[2025-06-24 23:32:08,620] [INFO] Registered tool: get_resources
[2025-06-24 23:32:08,620] [INFO] Registered tool: delete_resources
[2025-06-24 23:32:08,620] [INFO] Registered tool: describe_resources
[2025-06-24 23:32:08,620] [INFO] Registered tool: get_api_resources
[2025-06-24 23:32:08,620] [INFO] Registered tool: get_resources_logs
[2025-06-24 23:32:08,620] [INFO] Registered tool: patch_resource
[2025-06-24 23:32:08,620] [INFO] Registered tool: port_forward
[2025-06-24 23:32:08,620] [INFO] Registered tool: create_resource
[2025-06-24 23:32:08,620] [INFO] Total registered tools: 8
[2025-06-24 23:34:54,208] [DEBUG] Exec cmd: ['kubectl', '--kubeconfig', '/root/mcp_learn/mcp-kubernetes/.kube/config', 'get', 'pods', '-o', 'json']
[2025-06-24 23:34:54,258] [INFO] get_pods took 0.05 seconds
[2025-06-24 23:34:54,258] [INFO] Kubernetes operation get_pods succeeded
[2025-06-24 23:35:09,295] [DEBUG] Exec cmd: ['kubectl', '--kubeconfig', '/root/mcp_learn/mcp-kubernetes/.kube/config', 'get', 'pods', '-o', 'json']
[2025-06-24 23:35:09,353] [INFO] get_pods took 0.06 seconds
[2025-06-24 23:35:09,354] [INFO] Kubernetes operation get_pods succeeded
[2025-06-24 23:35:46,272] [DEBUG] Exec cmd: ['kubectl', '--kubeconfig', '/root/mcp_learn/mcp-kubernetes/.kube/config', 'get', 'pods', '-o', 'json']
[2025-06-24 23:35:46,325] [INFO] get_pods took 0.05 seconds
[2025-06-24 23:35:46,325] [INFO] Kubernetes operation get_pods succeeded
[2025-06-24 23:36:02,539] [DEBUG] Exec cmd: ['kubectl', '--kubeconfig', '/root/mcp_learn/mcp-kubernetes/.kube/config', 'get', 'deployments.app', '-o', 'json']
[2025-06-24 23:36:02,587] [INFO] get_deployment_apps took 0.05 seconds
[2025-06-24 23:36:02,588] [INFO] Kubernetes operation get_deployment_apps succeeded
[2025-06-24 23:42:13,002] [INFO] Closing Libvirt Server...
[2025-06-24 23:42:14,864] [INFO] MCP 'Kubernetes Resources Manager Server' initialized on 0.0.0.0:8000
[2025-06-24 23:42:14,878] [INFO] Registered tool: get_resources
[2025-06-24 23:42:14,879] [INFO] Registered tool: delete_resources
[2025-06-24 23:42:14,879] [INFO] Registered tool: describe_resources
[2025-06-24 23:42:14,879] [INFO] Registered tool: get_api_resources
[2025-06-24 23:42:14,879] [INFO] Registered tool: get_resources_logs
[2025-06-24 23:42:14,879] [INFO] Registered tool: patch_resource
[2025-06-24 23:42:14,879] [INFO] Registered tool: port_forward
[2025-06-24 23:42:14,879] [INFO] Registered tool: create_resource
[2025-06-24 23:42:14,879] [INFO] Total registered tools: 8
[2025-06-24 23:53:30,928] [INFO] Closing Libvirt Server...
[2025-06-24 23:53:32,230] [INFO] MCP 'Kubernetes Resources Manager Server' initialized on 0.0.0.0:8000
[2025-06-24 23:53:32,247] [INFO] Registered tool: get_resources
[2025-06-24 23:53:32,248] [INFO] Registered tool: delete_resources
[2025-06-24 23:53:32,248] [INFO] Registered tool: describe_resources
[2025-06-24 23:53:32,248] [INFO] Registered tool: get_api_resources
[2025-06-24 23:53:32,248] [INFO] Registered tool: get_resources_logs
[2025-06-24 23:53:32,248] [INFO] Registered tool: patch_resource
[2025-06-24 23:53:32,248] [INFO] Registered tool: port_forward
[2025-06-24 23:53:32,248] [INFO] Registered tool: create_resource
[2025-06-24 23:53:32,248] [INFO] Total registered tools: 8
[2025-06-24 23:54:08,096] [DEBUG] Executing command: ['kubectl', '--kubeconfig', '/root/mcp_learn/mcp-kubernetes/.kube/config', '-n', 'default', 'port-forward', '--address', '0.0.0.0,::', 'pods/nginx', '8080:80']
[2025-06-24 23:54:08,100] [INFO] Started port-forward: default/pods/nginx:8080->80, PID: 22905
[2025-06-24 23:54:08,101] [INFO] start_port_forward took 0.01 seconds
[2025-06-24 23:54:08,101] [INFO] Kubernetes operation start_port_forward(pods) succeeded
[2025-06-24 23:55:53,657] [ERROR] [port_forward] Error: resource_type and resource_name are required when action is 'start'
[2025-06-24 23:56:07,269] [ERROR] [port_forward] Error: resource_type and resource_name are required when action is 'start'
[2025-06-24 23:56:43,058] [INFO] Closing Libvirt Server...
[2025-06-24 23:57:45,877] [INFO] MCP 'Kubernetes Resources Manager Server' initialized on 0.0.0.0:8000
[2025-06-24 23:57:45,891] [INFO] Registered tool: get_resources
[2025-06-24 23:57:45,892] [INFO] Registered tool: delete_resources
[2025-06-24 23:57:45,892] [INFO] Registered tool: describe_resources
[2025-06-24 23:57:45,892] [INFO] Registered tool: get_api_resources
[2025-06-24 23:57:45,893] [INFO] Registered tool: get_resources_logs
[2025-06-24 23:57:45,893] [INFO] Registered tool: patch_resource
[2025-06-24 23:57:45,893] [INFO] Registered tool: port_forward
[2025-06-24 23:57:45,893] [INFO] Registered tool: create_resource
[2025-06-24 23:57:45,893] [INFO] Total registered tools: 8
[2025-06-25 00:00:14,210] [INFO] Closing Libvirt Server...
[2025-06-25 00:00:15,011] [INFO] MCP 'Kubernetes Resources Manager Server' initialized on 0.0.0.0:8000
[2025-06-25 00:00:15,024] [INFO] Registered tool: get_resources
[2025-06-25 00:00:15,024] [INFO] Registered tool: delete_resources
[2025-06-25 00:00:15,028] [INFO] Registered tool: describe_resources
[2025-06-25 00:00:15,028] [INFO] Registered tool: get_api_resources
[2025-06-25 00:00:15,028] [INFO] Registered tool: get_resources_logs
[2025-06-25 00:00:15,028] [INFO] Registered tool: patch_resource
[2025-06-25 00:00:15,028] [INFO] Registered tool: port_forward
[2025-06-25 00:00:15,028] [INFO] Registered tool: create_resource
[2025-06-25 00:00:15,028] [INFO] Total registered tools: 8
[2025-06-25 00:00:44,332] [INFO] Stopped port-forward for PID 22905
[2025-06-25 00:00:44,336] [INFO] stop_port_forward took 0.00 seconds
[2025-06-25 00:01:08,383] [ERROR] [port_forward] Error: resource_type and resource_name are required when action is 'start'
[2025-06-25 00:01:47,730] [ERROR] [port_forward] Error: resource_type and resource_name are required when action is 'start'
